orthosyll,syll,ortho_before,ortho_after,nb_usage
gen,Z@,a,cées,1
quez,ke,du,"",1
nel,n°,pru,lier,1
bra,bRa,vi,teurs,1
taient,tE,tras,"",1
çait,sE,lan,"",5
rent,jER,broyè,"",1
fu,fy,par,me,3
co,ko,"",ran,1
bras,bRa,"",sai,1
çon,so,ma,nant,1
brus,bRy,"","",1
gret,gR°t,"",chen,1
pri,pRi,"",vai,1
la,la,dé,vant,1
son,zo,poi,neurs,1
bat,ba,re,tez,1
tier,tje,gen,"",1
dis,di,ven,"",2
tions,sj§,por,"",3
pen,p@,ser,tin,2
cu,ky,mas,la,1
dé,de,ga,"",2
man,m@,ai,tés,1
ling,liG,fee,"",1
treet,stRit,ning s,"",1
fraie,fRE,dé,ment,1
ti,ti,no,sée,1
mions,mj§,li,"",1
gi,Zi,"",ro,2
for,fOR,pré,ma,1
sua,s8a,dis,dai,1
dit,di,har,"",1
na,na,pi,tion,1
bis,bis,ra,cot,1
tué,t8e,cen,"",2
tées,te,pes,"",1
pris,pRi,mé,"",2
niez,nje,gi,"",1
lon,jo,bouil,nait,1
vo,vo,dé,lu,3
no,no,i,cu,6
tir,tiR,poin,"",1
lo,lo,phi,"",1
ca,ka,sac,gez,1
ren,R@,"",de,2
bu,by,cul,to,1
nia,lo,lo,lis,1
di,di,é,teurs,1
mé,me,"",fie,6
ve,v°,gra,leux,1
mi,mi,ra,fiée,2
co,ko,ni,tais,1
ti,ti,no,fiait,1
li,li,re,rai,1
var,vaR,mo,"",1
sait,sE,fes,"",3
té,te,jec,"",4
trin,tR5,"",quais,1
par,paR,a,theid,1
dées,de,gnar,"",1
ra,Ra,pha,mi,1
char,SaR,"",gé,2
le,l°,en,vât,1
exal,Eg,"",te,1
tre,tR°,fil,rait,1
plis,pli,"",sées,2
cris,kRis,dé,pé,1
pin,p5,es,gouins,1
vai,vE,tra,"",1
si,si,gros,ra,1
fi,fi,re,lait,1
dien,dj5,woo,"",1
tra,tRa,"",jets,1
vo,vo,é,quer,1
po,spo,ex,si,2
bos,bo,"",sue,2
tra,tRa,re,vail,9
i,i,"",gloos,1
bats,ba,ra,"",2
de,id,noï,"",5
men,m@,com,cées,2
plats,pla,"","",2
te,t°,plé,rait,1
quent,k@,lo,"",2
ni,ni,mi,ser,1
dar,daR,ra,"",1
me,m°,ra,nait,1
vé,ve,di,"",1
ver,vE,ren,ras,1
co,ko,del,"",1
qui,ki,ta,nez,1
quar,ka,é,ris,5
blés,ble,"","",1
jus,Zys,a,ter,1
li,li,ta,niens,2
dez,de,man,"",6
bru,bRy,"",ta,14
me,m°,ti,ras,1
nium,njOm,lé,"",2
noï,no,lé,des,1
cri,kRi,dé,vez,1
neurs,n9R,flâ,"",2
tint,t5,ob,"",1
rou,Ru,"",vri,7
ril,Ri,pé,leux,1
ca,ka,di,teurs,4
fa,fa,af,lons,1
flam,fl@,"",bé,2
bi,bi,"",nious,1
vul,vyl,con,sées,1
ra,Ra,"",mé,1
con,k§,"",chié,1
to,to,fec,"",1
rad,Rad,"","",1
ge,Z°,chan,ments,1
rou,Ru,dé,lât,1
çant,s@,men,"",5
four,fuR,en,che,2
é,e,"",prit,1
pas,pas,"",teu,6
sion,zj§,bra,"",1
se,s°,tas,ments,2
douil,du,bre,leurs,1
sac,sak,"","",1
cou,ku,ac,trée,2
ve,v°,li,ments,1
pé,pe,"",pé,1
bré,bRe,a,ge,3
ra,Ra,mé,tion,3
seurs,s9R,dis,"",2
sion,zjo,fu,nons,1
rer,Re,ga,"",2
siait,zjE,thé,"",1
tiez,tje,je,"",3
ta,ta,rec,"",1
vi,vi,"",rais,1
ter,te,coc,"",1
lamb,l@b,"",da,1
ruf,Ry,"",fian,1
re,R°,ti,riez,3
bliè,bli,sa,res,1
bat,ba,com,tront,1
til,ti,cas,lans,2
es,e,"",sayent,1
roï,Ro,thy,de,2
é,e,"",lus,3
fat,fat,"",ma,1
né,ne,gé,raient,1
em,@,"",braya,2
trés,tRe,châ,"",2
man,m@,dia,tées,1
gée,Ze,per,"",1
comp,k§,re,tez,1
la,la,ba,diez,1
bour,bu,"",rus,1
re,R°,ti,li,1
mo,mo,cor,rans,1
pa,pa,ca,rer,1
cher,SER,"",chées,1
sez,se,dos,"",2
ras,Ra,bar,siez,1
clin,kl5,"",quants,2
co,ko,"",tée,2
té,te,jan,"",2
dé,de,"",mem,9
ton,to,en,noirs,1
en,@,"",viais,1
te,t°,flot,ra,1
guaient,gE,ran,"",1
gé,Ze,in,nio,2
vi,vi,lé,ta,1
gés,Ze,fra,"",3
creur,kR9R,en,"",2
mé,me,re,dia,1
lot,lo,rou,tait,1
ni,ni,ban,rait,1
chap,Sa,ré,pez,1
met,mE,sou,tait,1
ne,n°,bon,teurs,1
pe,p°,ram,ras,1
mou,mu,"",choir,1
cou,ku,par,rait,1
tif,tif,fec,"",4
lant,j@,grouil,"",2
pau,po,ci,té,1
ta,ta,ren,"",1
si,zi,ré,lié,1
mi,mi,ful,naient,1
sol,zOl,ré,vait,1
se,z°,plo,rait,1
peurs,p9R,va,"",1
wa,va,"",gon,3
mer,me,fri,"",1
mis,mi,per,sions,1
nais,nE,bo,"",2
cée,se,ca,"",2
lés,le,fou,"",5
li,li,na,saient,3
cha,Sa,"",hu,15
rexi,REk,no,que,2
che,S°,ra,ras,1
bli,bli,"",ni,1
foui,fwi,"",né,1
rim,Rim,ma,ba,1
tin,t5,"",tés,1
har,aR,en,die,1
tion,sjo,ponc,nait,1
cho,So,"",pés,1
col,ko,"",lé,4
gol,gOl,"",dens,1
ché,Se,ju,"",1
ani,ni,n,mé,1
noient,nwa,"","",1
ré,Re,tor,fient,1
ve,v°,sau,rait,1
a,a,"",grég,1
de,d°,cor,rait,2
gnons,N§,pa,"",3
ves,tiv,ti,"",6
croi,kRwa,"",rais,1
li,li,dé,riez,1
tor,tOR,dis,due,1
ci,si,pa,fiés,1
tos,to,lo,"",1
per,pER,é,du,3
rais,RE,ser,"",2
lon,jo,bâil,née,1
pa,pa,ap,rent,1
oua,wa,"",tés,2
fé,fe,dif,re,4
pli,pli,com,rai,1
non,nO,â,ne,2
loi,lwa,é,gnés,2
co,ko,pi,"",1
nis,ni,pla,sait,1
li,li,sa,té,3
ca,ka,"",tins,1
man,m@,"",gions,1
voue,vu,"",ra,1
ra,Ra,"",bans,1
cy,si,"",clées,1
bi,bi,lar,ne,1
sul,syl,in,tez,1
dra,dRa,ca,"",1
po,spo,ex,saient,1
bâ,ba,ra,chaient,1
ka,ka,"",na,1
ré,Re,"",criè,1
pon,p§,"",ceaux,1
pu,py,"","",1
tion,sj§,mix,"",2
ri,Ri,di,gions,1
kil,kil,"",bus,1
ge,Z°,bou,rez,1
la,ja,gouail,"",1
ga,ga,en,gés,3
lu,ly,é,da,1
gna,Na,sai,"",1
pait,pE,trom,"",2
lé,le,seu,"",2
ter,tER,in,ca,13
nec,nEk,con,tées,1
ver,vER,re,saient,1
gra,gRa,dio,phiée,1
bruyan,bR8i,"",te,1
no,no,som,lez,1
nuaient,n8E,si,"",2
cer,sER,con,ta,3
si,zi,dé,gnions,1
op,Op,"",tons,1
jour,ZuR,a,nés,2
em,@,"",plie,2
tion,sjo,ac,née,1
var,vaR,ba,dai,1
vien,vj5,con,drais,1
crois,kRwa,"",sait,1
bé,be,go,"",1
né,ne,cer,"",5
lis,li,mol,sez,1
pis,pi,"",sez,1
té,te,col,"",1
vés,ve,ra,"",1
le,j°,bâil,rez,1
ver,ve,dê,"",1
sa,sa,"",blon,1
son,s§,"",geant,1
pless,plEs,to,"",2
mit,mi,cal,"",1
rets,RE,"","",1
tou,tu,"",chais,1
vi,vi,"",se,6
dés,de,gon,"",2
plis,pli,em,sais,1
gi,Zi,ré,ront,1
cur,skyR,ex,sion,4
tis,ti,pâ,sais,1
ha,na,men,den,1
fu,fy,re,siez,1
rin,R5,tau,"",1
vée,ve,ti,"",11
gnait,NE,ta,"",1
fon,f§,"",ceur,2
fé,fe,trans,riez,1
chur,Sy,"",ros,1
suée,s8e,bos,"",1
dées,de,li,"",2
cer,se,ca,"",1
blait,blE,meu,"",1
tons,t§,cre,"",1
ce,s°,chan,lants,1
ni,ni,"",ckel,2
dra,dRa,per,"",1
cha,Sa,cro,"",4
que,k°,tri,ment,3
liés,lje,mi,"",2
coif,kwa,re,fé,1
do,do,bol,"",1
la,la,"",bos,1
se,z°,ci,rez,1
se,z°,ni,rais,2
pio,pjo,"",chant,1
ne,n°,mè,raient,5
chau,So,dé,mée,1
li,li,"",go,18
çant,s@,rin,"",1
rais,RE,tou,"",1
sai,sE,ces,re,1
sol,sOl,"",dât,1
bu,by,bal,tia,1
za,za,piaz,"",1
fis,fi,"","",1
die,di,gé,"",2
cas,ka,ja,sé,1
brep,bREp,su,ti,1
ro,Ro,dé,bées,2
far,faR,"",ceurs,2
te,t°,sis,rons,3
lo,lo,co,"",5
gne,N°,sai,ras,1
ta,ta,doig,"",1
nis,ni,ver,sant,1
pon,p§,res,dais,1
re,jyR,pliu,"",1
ta,ta,rat,chez,1
vent,v@,"","",1
ou,u,"",vra,9
pa,pa,ri,tons,1
fon,f§,en,ça,1
drie,dRi,ten,"",1
phar,faR,nu,"",1
mai,mE,cu,"",1
gien,lo,lo,nes,1
tu,ty,cou,ma,2
trô,tRo,con,lé,2
me,tizm,tis,"",4
for,fOR,"",mels,1
la,ja,gril,gées,2
tri,tRi,maî,sait,1
nic,nik,"",ta,1
bu,by,glo,leux,1
ren,R@,"",for,21
veil,vE,ré,lais,1
mies,mi,cal,"",1
ris,Ri,ter,sais,1
te,t°,fé,ries,1
té,te,at,nuât,1
opè,o,co,re,1
cam,k@,"",bouis,1
bou,bu,"",gées,1
frot,fRo,"",tait,1
gua,ga,di,"",2
mo,mo,im,ra,2
mez,me,hu,"",1
man,m@,"",de,6
te,t°,flo,ment,1
chai,SE,mou,"",1
blan,bl@,fer,tiers,1
ri,Ri,ga,té,1
cra,kRa,é,sant,2
ter,tER,é,nuais,1
nes,ne,va,cents,1
ments,m@,ta,"",1
dat,da,"",tiers,1
dou,du,"",ros,1
si,si,in,nuant,2
mi,mi,"",ner,1
pon,po,tam,né,1
chauf,So,é,fou,2
ti,ti,glou,raient,1
gâ,ga,"",chât,1
lai,lE,gueu,"",1
fen,f@,"",dez,1
ver,vER,"",mil,6
pa,pa,em,lant,1
lan,l@,mé,geaient,1
dis,di,mau,sez,1
ter,tER,in,nats,1
gue,g°,lar,rai,1
to,to,"",tal,2
bran,bR@,dé,che,4
grou,gRu,"",pais,1
po,po,mal,li,2
roue,Ru,"",ries,1
dé,de,"",grif,4
ce,s°,fron,ment,1
çant,s@,na,"",2
pli,pli,sup,ca,2
cul,kyl,oc,tait,1
pon,p§,tar,"",1
sant,s@,las,"",4
ni,ni,u,ra,1
ser,sER,con,vez,1
ar,aR,"",den,1
rup,Ryp,cor,ti,1
a,a,"",rien,2
mi,mi,bru,sa,1
jouant,Zw@,dé,"",1
vor,vOR,di,ça,1
bions,bj§,go,"",1
dé,de,guin,"",2
tu,ty,trai,rés,1
bais,bE,"",sais,1
gea,Za,ra,"",5
co,ko,lu,quer,1
gnon,N§,ro,"",1
vrien,vRi,sé,nes,1
rou,Ru,lou,"",1
lé,le,nu,"",4
zouil,zu,ga,ler,1
raient,RE,er,"",1
gniard,NaR,"","",1
quié,kje,in,ter,1
sol,sOl,"",dé,1
mets,mE,lu,"",1
trie,tRi,"",ra,1
veil,vE,mer,lant,1
mis,mi,de,"",2
mé,me,"",dia,11
re,R°,fai,raient,1
ro,Ro,"",cheux,1
mé,me,"",més,1
dos,do,a,sées,1
tes,tEs,con,tons,1
sif,sif,hen,"",2
bets,bE,car,"",1
tez,te,pié,"",1
lez,je,bâil,"",1
rets,RE,su,"",1
ment,m@,ti,"",11
jour,ZuR,sé,nant,1
tion,sj§,da,"",22
laient,lE,gno,"",1
fiées,fje,si,"",5
mît,mi,com,"",1
hé,e,"",raut,1
nium,njOm,to,"",1
di,di,é,tés,1
taient,tE,mon,"",4
ris,Ri,quar,seurs,1
ti,ti,re,rât,1
chan,S@,é,geant,1
maux,mo,tis,"",1
cla,kla,ac,mées,1
pau,po,em,mer,1
dis,dis,"",cor,3
plo,splo,ex,sez,1
ra,Ra,ta,bis,7
te,t°,dou,riez,1
dui,d8i,ré,sez,1
u,y,"",su,4
gar,gaR,"",diens,2
dues,dy,cen,"",2
ra,Ra,go,"",3
lié,lje,a,nant,2
trant,tR@,fil,"",3
re,R°,"",mem,2
axes,aks,"","",1
si,zi,moi,ras,1
ver,ve,"",rou,1
re,R°,"",liaient,1
ve,v°,se,lies,2
bad,bad,"",gés,1
com,k§,ac,pa,35
plo,splo,ex,sai,1
sants,s@,mis,"",2
ner,ne,di,"",4
ni,ni,i,tial,1
de,sid,oxy,"",2
gé,Ze,"",mel,1
cer,sER,dis,nait,1
fes,fE,pro,seur,1
pu,py,"",tres,1
vi,vi,re,vez,1
fai,f°,re,sait,1
tro,tRo,"",qué,1
mu,my,trans,tait,1
jé,Ze,su,tion,1
ter,tER,"",nir,1
lez,le,gu,"",1
cer,sER,en,clez,1
dan,d@,ten,cieu,1
ter,te,mâ,"",1
ti,ti,ven,lé,2
niers,nje,con,"",2
ce,s°,men,rais,2
se,z°,pui,rai,1
ti,ti,an,con,1
pui,p8i,"",sions,1
tes,s@t,san,"",4
cu,ky,"",vier,1
blaient,blE,sem,"",4
ne,n°,don,ront,5
bail,ba,"",ler,1
cha,Sa,"",toient,1
ré,Re,cé,braux,1
tu,ty,da,ra,1
ra,Ra,vie,"",4
dis,di,cen,"",2
tu,ty,na,ré,3
fon,f§,con,dait,1
si,si,des,nez,1
lou,lu,dou,reux,1
cal,kal,gi,"",1
lons,l§,fi,"",5
en,@,"",raye,2
en,@,"",trants,2
pin,p5,lo,"",2
gou,gu,"",rées,1
gnons,N§,gro,"",2
dy,di,"",sen,2
fri,fRi,ef,ter,1
rat,Ra,jo,"",1
tra,tRa,ma,qués,1
che,S°,ca,ra,1
dis,di,gran,sais,1
ti,ti,men,riez,1
tion,sj§,dop,"",1
grées,gRe,a,"",1
ti,ti,cor,quant,1
se,s°,dan,rez,1
gros,gRo,en,sant,1
ap,a,"",prou,27
voue,vu,sa,"",1
fran,fR@,af,chis,6
re,R°,fa,ment,1
sa,sa,plis,"",2
tre,tR°,en,tuent,1
mi,mi,ta,nets,1
trai,tRE,con,gnaient,1
voir,vwaR,tre,"",1
tées,te,dop,"",3
lots,lo,gou,"",1
gras,gRa,"",seyan,1
fiaient,fjE,di,"",2
dé,de,mo,rez,1
of,o,"",fri,10
roir,RwaR,pa,"",1
foe,fe,"",tal,1
mo,mo,"",ro,3
te,t°,quar,nier,1
co,ko,pi,leurs,1
cor,kOR,"",diaux,1
guais,gE,dra,"",1
ac,ak,dio,ti,1
mail,ma,re,ler,1
gnée,Ne,fro,"",2
okie,ki,co,"",1
sion,zj§,tu,"",1
dou,du,"",ce,3
la,la,re,tant,1
a,a,"",mis,2
chê,SE,"",ne,1
ve,v°,gra,rais,1
pre,pR°,sur,nez,1
tour,tuR,"",nons,1
pla,pla,"",nez,1
bat,ba,ra,taient,1
ti,ti,co,sés,1
tuas,t8a,"","",1
fe,f°,re,rai,1
bli,bli,o,qué,1
peu,p9,a,raient,1
trants,tR@,en,"",2
ploi,splwa,ex,tai,1
ger,g9R,bur,"",2
sti,sti,sub,tut,1
toies,twa,tu,"",1
vet,vE,or,"",1
tu,ty,pos,la,1
ve,v°,"",nu,2
ter,te,suin,"",1
ni,ni,ca,veau,1
gros,gRo,en,se,1
rait,RE,coeu,"",1
crée,kRe,"","",1
tier,tje,cour,"",1
ti,ti,pon,fier,1
cla,kla,pro,mât,1
dien,dj5,freu,"",2
dui,d8i,dé,raient,1
vo,vo,en,lai,1
raye,Rej,"","",1
cep,sEp,ter,tions,1
blouis,blu,é,ses,1
gen,Z@,ar,ton,1
tiait,sjE,ni,"",1
di,di,ra,qué,1
tées,te,gen,"",3
fi,fi,of,ciaient,1
juif,Z8if,"","",2
clayon,klE,"",na,2
sa,sa,con,cra,1
ten,t@,con,tée,1
ci,si,fa,le,1
més,me,for,"",13
bar,baR,"",bot,1
let,lE,ne,"",1
frei,fRE,"",nez,1
si,zi,vi,bi,4
re,R°,"",né,8
van,v@,re,chard,2
sons,z§,pa,"",1
le,l°,"",van,4
ba,ba,rum,"",1
viets,vjEt,so,"",1
ral,Ra,co,liens,1
tre,tR°,con,ras,2
se,z°,croi,rai,1
sa,i,haïs,bles,1
gnons,N§,ma,"",1
ma,ma,for,teur,7
don,do,or,nan,3
tru,tRy,"",quaient,1
lif,lif,"",tée,2
ge,Z°,ven,ra,1
le,l°,col,ront,2
mi,za,exa,ne,2
per,pER,"",ti,3
rat,Ra,to,"",6
co,ko,"",ve,1
u,y,"",nis,12
geon,Zo,di,na,1
si,si,con,gné,2
fê,fe,"",lé,3
mou,mu,é,vrait,1
ta,ta,"",blant,1
li,li,ga,ciens,1
liées,lje,dé,"",2
krai,kRE,u,nien,2
tant,t@,sot,"",1
fé,fe,"",mi,9
rial,Rjal,ta,"",1
po,po,"",lir,1
bel,bE,re,lât,1
dions,dj§,ven,"",1
gna,Na,gui,"",2
na,na,har,chiez,1
lis,li,"",sa,1
sa,sa,"",pés,1
ces,Z@s,gen,"",1
deur,d9R,tié,"",1
ma,ma,lar,"",1
chien,Sj5,"",dent,1
fi,fi,af,chez,1
vait,vE,ga,"",1
cle,kl°,bou,raient,1
sans,z@,fai,"",1
hou,u,"",blon,2
quants,k@,cra,"",1
lou,lu,"",cher,1
lut,ly,va,"",2
trai,tRe,re,té,3
le,l°,trô,riez,1
quies,kjE,ac,çai,1
des,ad,rua,"",1
diai,djE,si,re,1
pen,pE,em,nées,1
lon,jo,bil,nant,2
vo,vo,é,quait,1
lés,le,pe,"",8
gram,gRa,pro,maient,1
re,R°,vi,ments,3
co,ko,mar,ni,1
dant,d@,ri,"",1
trou,tRu,at,pés,1
maints,m5,"","",1
trail,tRa,mi,lés,1
suel,z8E,vi,le,1
é,e,"",lues,1
rées,Re,four,"",2
sis,sis,in,tions,1
ter,te,trac,"",4
ners,nER,cor,"",1
ris,Ri,nour,sait,1
pous,pu,"",sas,1
pé,pe,pé,"",1
cou,ku,re,vrées,1
char,SaR,sur,gé,1
a,a,"",touts,1
sions,sj§,dis,"",5
gra,gRa,té,tion,3
pos,pOs,ri,tais,1
tes,tEs,at,te,1
chy,ki,co,lis,1
mid,mid,"",ship,1
pe,p°,"",naud,1
vient,vj5,par,"",1
na,na,sé,teur,1
tar,taR,"",tan,1
gnas,Na,co,sier,1
gner,Ne,sei,"",2
sen,z@,pré,tée,3
gre,gR°,é,naient,1
cul,kyl,to,teur,1
vrons,vR§,vi,"",3
fier,fje,truf,"",1
te,t°,gâ,rais,1
re,R°,cu,riez,1
chaient,SE,tan,"",1
dé,de,"",bus,10
dait,dE,ban,"",2
té,te,quit,"",4
ché,Se,ca,"",2
vé,ve,tre,ri,2
dé,de,"",laie,1
ex,Ek,"",tinc,5
di,di,mé,ca,12
dé,de,si,rât,1
sue,sy,"","",3
vi,vi,de,nées,1
guin,g5,"",dals,1
dé,de,"",shar,1
mi,mi,"",née,1
so,zo,lo,phé,1
pois,pwa,"",sée,1
di,di,ra,cal,2
dhas,da,boud,"",1
naient,nE,tron,"",1
rez,Re,clu,"",1
tri,tRi,con,buât,1
en,@g,"",glué,2
te,t°,si,rais,1
nier,nje,lai,"",2
gnait,NE,pi,"",1
ments,m@,ve,"",11
mi,mi,"",nus,1
ler,le,rô,"",1
gar,gaR,"",dât,1
ses,2z,yeu,"",1
no,no,ra,"",2
re,R°,"",dis,14
mi,mi,ga,"",2
tés,te,ra,"",5
chaud,So,"","",3
bis,bi,su,sait,1
duc,dyk,con,ti,2
lés,le,par,"",2
bais,bE,re,sait,1
pi,pi,dé,ter,1
dur,dyR,en,cie,2
dap,dap,sa,tée,1
pri,spRi,ex,ma,1
mée,me,fil,"",1
cu,ky,char,tez,1
tom,t§,"",beau,1
fu,fy,dif,sée,2
hum,1,"",ble,1
ou,u,"",vrir,1
de,sid,droxy,"",1
al,a,"",lium,1
de,d°,fon,ries,1
ren,R@,"",daient,1
re,R°,pa,raient,4
lis,li,ve,saient,1
mé,me,tu,fie,1
of,o,"",frez,1
bal,ba,rem,ler,1
moût,mu,"","",1
bé,be,"",quil,2
ca,ka,"",lis,1
tés,te,rê,"",3
jos,Zo,jo,"",2
que,k°,bec,ter,1
vau,vo,"",drait,1
phé,fe,blas,mant,1
le,j°,bil,ra,2
cer,se,cor,"",1
ca,ka,"",tin,1
a,a,"",près,2
ins,5s,"",tam,1
ter,te,coû,"",1
mi,mi,"",ckeys,1
vez,ve,cou,"",1
cées,se,mor,"",2
pen,p5,"",to,1
sco,ko,pi,pa,2
moie,mwa,lar,ment,1
vées,ve,vi,"",1
rez,Re,pie,"",1
jouis,Zwi,"",saient,1
sons,s§,lais,"",1
pée,pe,flo,"",1
lés,le,"","",1
ne,n°,sion,rais,1
plan,pl@,"",qué,2
ti,ti,ta,né,2
va,va,ra,lés,1
ca,ka,es,le,1
gant,g@,ro,"",2
gnant,N@,lor,"",1
quin,k5,da,"",1
fre,fR°,gouf,rait,1
du,dy,"",per,1
ga,ga,"",re,4
vri,vRi,rou,rai,1
ta,ta,tin,"",1
co,ko,"",rin,5
ris,Ri,nour,sez,1
al,a,"",liées,3
bla,bla,sa,"",1
rié,Rje,ju,"",1
queur,k9R,ti,"",2
fâ,fa,"",chaient,1
man,m@,"",teau,1
tés,te,hâ,"",1
je,Z°,"",tai,1
pren,pR@,re,drons,1
seyan,sE,"",tes,1
ser,zER,dé,tée,2
bi,bi,ar,"",1
lan,j@,bril,ti,4
tra,tRa,at,pé,1
for,fOR,li,nien,2
ma,ma,"",ma,1
gi,Zi,"",tan,2
a,a,"",hans,1
cil,si,fau,lon,1
clu,kly,in,ra,1
teurs,t9R,mi,"",1
sants,s@,mous,"",1
vi,vi,ner,"",1
soeu,z9,dé,vrées,3
dys,dis,"",pla,1
ve,v°,la,ries,1
té,te,wri,"",1
ri,Ri,va,queux,1
nos,no,"","",1
muf,muf,"",ti,1
tan,t@,dis,ça,1
ment,m@,gue,"",3
gue,g°,di,ment,1
for,fOR,in,més,3
treurs,tR9R,gis,"",2
chan,S@,"",tât,1
pais,pE,pom,"",1
pé,pe,"",tro,6
chis,Si,flé,sions,1
sanc,s@k,"",tions,1
lu,ly,cel,lar,1
frus,fRys,"",quer,1
sés,ze,di,"",1
zy,zi,a,gos,1
vrît,vRi,ou,"",1
pa,pa,lé,thi,1
que,k°,chi,teurs,1
pen,p@,dé,sais,1
pil,pi,gas,lant,1
lo,lo,"",giez,1
plos,plo,plo,"",1
té,te,"",lex,1
mé,me,té,ri,2
ti,ti,vol,ger,1
gour,guR,"","",1
va,va,é,der,1
ser,ze,bu,"",2
ler,lER,a,tée,2
nos,no,ra,"",2
ries,Ri,tue,"",1
ner,nER,é,vée,2
ju,Zy,"",pon,3
tem,t@,con,plais,1
join,Zw5,"",drais,1
raient,RE,pli,"",3
ruc,Ryk,é,ter,1
ser,se,haus,"",3
te,t°,jus,rai,1
pui,p8i,"",ser,1
si,si,fal,fi,1
bour,buR,"",geoi,3
tré,tRe,ti,"",4
mard,maR,plu,"",1
vo,vo,ré,lue,1
bai,bE,hi,"",1
tant,t@,tris,"",3
sen,s@,"",sée,1
trez,tRe,gis,"",1
tins,t5,pa,"",1
sion,sjo,fes,nal,1
sé,se,"",ca,2
va,va,"",ter,1
pé,pe,vi,reau,1
bi,bi,ha,tua,1
po,po,dis,saient,2
mas,ma,fri,"",1
brou,bRu,"",ter,1
pa,pa,o,lin,1
rompt,R§,ter,"",1
tra,tRa,"",vail,35
pi,pi,dé,quer,1
fu,fy,con,sions,1
en,@,"",gouait,1
tées,te,fron,"",6
bil,bi,ca,lots,1
dis,di,ron,sons,1
mar,maR,che,"",1
let,jE,souil,"",1
por,pOR,ap,tez,1
pul,pyl,com,sif,1
fil,fil,in,trée,1
lo,lo,ter,quée,2
croi,kRwa,"",riez,1
ciers,sje,mer,"",1
çons,s§,me,"",1
rue,Ry,mo,"",1
que,k°,pro,ment,1
lu,ly,tur,pi,6
ti,ti,vê,rais,1
mous,mu,é,se,2
plu,ply,é,chât,1
niers,nje,lai,"",1
se,s°,dan,rais,1
teurs,t9R,met,"",8
le,l°,tal,rais,1
tes,jat,goya,"",1
maient,mE,ni,"",2
touf,tu,é,foirs,1
tion,sjo,fec,nait,3
va,va,é,sée,2
fe,fe,ca,te,2
ga,ga,en,ge,12
bri,bRi,fé,li,1
bet,bE,lou,"",1
tou,tu,"",chées,2
sa,sa,"",lies,1
fen,f@,dé,drons,1
sant,z@,cra,"",2
bier,bje,ger,"",1
si,zi,u,nés,1
laient,jE,vail,"",1
pro,pRo,rap,chez,1
deau,do,ri,"",1
gout,gu,é,tant,1
tion,sjo,fonc,nez,1
qui,ki,mar,sats,1
bi,bi,"",sous,1
vez,ve,cri,"",6
nie,ni,ma,"",16
car,kaR,es,gots,1
se,s°,haus,rait,1
te,t°,bê,rais,1
ba,ba,"",ver,1
gou,gu,"",jat,1
triar,tRi,ma,ca,2
te,t°,van,ront,1
tan,t@,dis,cier,1
que,k°,pi,taient,1
til,ti,mon,la,1
bi,bi,dé,nées,1
gue,g°,dra,rais,1
meurs,m9R,tu,"",1
ti,ti,ran,"",2
cep,sEp,ter,té,1
guée,ge,ti,"",2
teux,t2,lai,"",1
fi,fi,"",gu,28
den,d@,ci,tés,2
ce,s°,har,liez,1
pres,pREs,"",crit,1
truc,tRyk,cons,tif,1
ex,Ek,"",ploi,33
di,di,in,quer,1
fle,fl°,souf,tant,1
vail,vaj,tra,lions,1
soi,swa,"",gna,1
trous,tRu,"",sant,1
tan,zyl,exul,tes,1
lies,li,po,"",4
o,o,"",reil,3
la,la,tu,tions,3
hi,i,va,ront,1
glue,gly,"","",1
si,si,"",nué,1
ca,ka,"",fouil,7
pa,pa,com,riez,1
ker,k9R,qua,"",1
der,de,pen,"",1
ra,Ra,pa,çon,6
ter,te,rê,"",1
rai,RE,choue,"",1
rais,RE,die,"",1
jot,Zo,bar,"",2
dé,de,gan,"",2
gnar,NaR,poi,dait,1
fe,f°,"",ront,1
chas,Sa,é,siers,1
te,t°,miet,ments,1
jou,Zu,a,rait,1
nions,nj§,cli,"",2
vrée,vRe,poi,"",2
que,k°,cla,rais,1
in,5,"",sup,2
pis,pis,"",ter,1
post,pOs,"",da,1
nou,nu,mi,"",1
pons,p§,tra,"",2
re,R°,"",laie,5
bler,ble,meu,"",1
ger,g9R,trig,"",1
cuis,k8i,é,sées,1
bans,b@,tur,"",1
la,la,vio,cer,1
nais,nE,po,"",2
mar,maR,dé,quée,1
jo,Zo,mi,tons,1
guil,g8i,ai,la,1
bris,bRi,som,sant,1
fac,fak,"",teurs,1
men,m@,"",tion,21
di,di,gran,ront,2
ries,Ri,fe,"",2
tées,te,adap,"",1
ja,Za,"",dis,2
vaux,vo,ti,"",1
sard,zaR,na,"",1
ma,ma,phar,ciens,1
sait,zE,cui,"",1
ten,t@,hor,sias,1
cla,kla,"",quions,1
par,paR,re,tions,1
ch al,Sa,in,lah,1
van,v@,a,çait,1
le,j°,feuil,té,3
pu,py,dis,tés,2
pri,pRi,dé,mants,1
da,da,mer,"",2
li,li,ga,sé,3
bê,bE,em,tais,1
men,m@,ci,te,3
pa,pa,sur,teurs,1
liai,ljE,ral,"",1
bo,bo,ar,ra,1
ni,ni,va,sés,1
pu,py,dis,tée,2
gluan,gly,"",tes,1
mi,mi,ni,sé,1
ou,u,"",trant,1
ri,Ri,mé,sé,1
dai,dE,pen,son,1
trir,tRiR,flé,"",1
plu,ply,"",mets,1
