ortho,phon,cgram
conduisez,k§d8ize,VER
conduisiez,k§d8izje,VER
conduisions,k§d8izj§,VER
conduisirent,k§d8iziR,VER
conduisis,k§d8izi,VER
conduisit,k§d8izi,VER
conduisons,k§d8iz§,VER
conduisît,k§d8izi,VER
conduit,k§d8i,VER
conduit,k§d8i,NOM
conduite,k§d8it,VER
conduite,k§d8it,ADJ
conduite,k§d8it,NOM
conduite-intérieure,k§d8it5teRj9R,NOM
conduites,k§d8it,VER
conduites,k§d8it,ADJ
conduites,k§d8it,NOM
conduits,k§d8i,VER
conduits,k§d8i,NOM
condyle,k§dil,NOM
condyles,k§dil,NOM
condé,k§de,NOM
condés,k§de,NOM
confabulaient,k§fabylE,VER
confection,k§fEksj§,NOM
confectionna,k§fEksjona,VER
confectionnai,k§fEksjonE,VER
confectionnaient,k§fEksjonE,VER
confectionnais,k§fEksjonE,VER
confectionnait,k§fEksjonE,VER
confectionne,k§fEksjOn,VER
confectionner,k§fEksjone,VER
confectionnerai,k§fEksjOn°RE,VER
confectionnerais,k§fEksjOn°RE,VER
confectionnerait,k§fEksjOn°RE,VER
confectionneur,k§fEksjon9R,NOM
confectionneurs,k§fEksjon9R,NOM
confectionneuse,k§fEksjon2z,NOM
confectionneuses,k§fEksjon2z,NOM
confectionnez,k§fEksjone,VER
confectionnions,k§fEksjonj§,VER
confectionnâmes,k§fEksjonam,VER
confectionnât,k§fEksjona,VER
confectionnèrent,k§fEksjonER,VER
confectionné,k§fEksjone,VER
confectionnée,k§fEksjone,VER
confectionnées,k§fEksjone,VER
confectionnés,k§fEksjone,VER
confessa,k§fEsa,VER
confessai,k§fEsE,VER
confessaient,k§fEsE,VER
confessais,k§fEsE,VER
confessait,k§fEsE,VER
confessant,k§fEs@,VER
confesse,k§fEs,NOM
confesse,k§fEs,VER
confessent,k§fEs,VER
confesser,k§fese,VER
confesserai,k§fEs°RE,VER
confesserait,k§fEs°RE,VER
confesseras,k§fEs°Ra,VER
confesserez,k§fEs°Re,VER
confesseur,k§fEs9R,NOM
confesseurs,k§fEs9R,NOM
confessez,k§fEse,VER
confessiez,k§fEsje,VER
confession,k§fesj§,NOM
confessionnal,k§fEsjonal,NOM
confessionnaux,k§fEsjono,NOM
confessionnel,k§fEsjonEl,ADJ
confessionnelle,k§fEsjonEl,ADJ
confessionnels,k§fEsjonEl,ADJ
confessions,k§fesj§,NOM
confessons,k§fEs§,VER
confessé,k§fese,VER
confessée,k§fese,VER
confessés,k§fese,VER
confetti,k§feti,NOM
confettis,k§feti,NOM
confia,k§fja,VER
confiai,k§fjE,VER
confiaient,k§fjE,VER
confiais,k§fjE,VER
confiait,k§fjE,VER
confiance,k§fj@s,NOM
confiances,k§fj@s,NOM
confiant,k§fj@,ADJ
confiant,k§fj@,VER
confiante,k§fj@t,ADJ
confiantes,k§fj@t,ADJ
confiants,k§fj@,ADJ
confidence,k§fid@s,NOM
confidences,k§fid@s,NOM
confident,k§fid@,NOM
confidente,k§fid@t,NOM
confidentes,k§fid@t,NOM
confidentialité,k§fid@sjalite,NOM
confidentiel,k§fid@sjEl,ADJ
confidentielle,k§fid@sjEl,ADJ
confidentiellement,k§fid@sjEl°m@,ADV
confidentielles,k§fid@sjEl,ADJ
confidentiels,k§fid@sjEl,ADJ
confidents,k§fid@,NOM
confie,k§fi,VER
confient,k§fi,VER
confier,k§fje,VER
confiera,k§fiRa,VER
confierai,k§fiRE,VER
confieraient,k§fiRE,VER
confierais,k§fiRE,VER
confierait,k§fiRE,VER
confieras,k§fiRa,VER
confierez,k§fiRe,VER
confieriez,k§fiRje,VER
confiez,k§fje,VER
configuration,k§figyRasj§,NOM
configurations,k§figyRasj§,NOM
configure,k§figyR,VER
configurer,k§figyRe,VER
configuré,k§figyRe,VER
confiions,k§fij§,VER
confina,k§fina,VER
confinaient,k§finE,VER
confinait,k§finE,VER
confinant,k§fin@,VER
confine,k§fin,VER
confinement,k§fin°m@,NOM
confinent,k§fin,VER
confiner,k§fine,VER
confinerez,k§fin°Re,VER
confins,k§f5,NOM
confiné,k§fine,VER
confiné,k§fine,ADJ
confinée,k§fine,VER
confinée,k§fine,ADJ
confinées,k§fine,VER
confinées,k§fine,ADJ
confinés,k§fine,VER
confinés,k§fine,ADJ
confions,k§fj§,VER
confiote,k§fjOt,NOM
confiotes,k§fjOt,NOM
confire,k§fiR,VER
confirma,k§fiRma,VER
confirmai,k§fiRmE,VER
confirmaient,k§fiRmE,VER
confirmais,k§fiRmE,VER
confirmait,k§fiRmE,VER
confirmant,k§fiRm@,VER
confirmation,k§fiRmasj§,NOM
confirmations,k§fiRmasj§,NOM
confirme,k§fiRm,VER
confirment,k§fiRm,VER
confirmer,k§fiRme,VER
confirmera,k§fiRm°Ra,VER
confirmerai,k§fiRm°RE,VER
confirmeraient,k§fiRm°RE,VER
confirmerait,k§fiRm°RE,VER
confirmerez,k§fiRm°Re,VER
confirmeront,k§fiRm°R§,VER
confirmes,k§fiRm,VER
confirmez,k§fiRme,VER
confirmions,k§fiRmj§,VER
confirmons,k§fiRm§,VER
confirmâmes,k§fiRmam,VER
confirmât,k§fiRma,VER
confirmèrent,k§fiRmER,VER
confirmé,k§fiRme,VER
confirmé,k§fiRme,ADJ
confirmée,k§fiRme,VER
confirmée,k§fiRme,ADJ
confirmées,k§fiRme,VER
confirmées,k§fiRme,ADJ
confirmés,k§fiRme,VER
confirmés,k§fiRme,ADJ
confiscation,k§fiskasj§,NOM
confiscations,k§fiskasj§,NOM
confiserie,k§fiz°Ri,NOM
confiseries,k§fiz°Ri,NOM
confiseur,k§fiz9R,NOM
confiseurs,k§fiz9R,NOM
confiseuse,k§fiz2z,NOM
confisqua,k§fiska,VER
confisquaient,k§fiskE,VER
confisquait,k§fiskE,VER
confisquant,k§fisk@,VER
confisque,k§fisk,VER
confisquent,k§fisk,VER
confisquer,k§fiske,VER
confisquera,k§fisk°Ra,VER
confisquerai,k§fisk°RE,VER
confisqueraient,k§fisk°RE,VER
confisquerait,k§fisk°RE,VER
confisquerons,k§fisk°R§,VER
confisqueront,k§fisk°R§,VER
confisquez,k§fiske,VER
confisquons,k§fisk§,VER
confisquât,k§fiska,VER
confisquèrent,k§fiskER,VER
confisqué,k§fiske,VER
confisqué,k§fiske,ADJ
confisquée,k§fiske,VER
confisquée,k§fiske,ADJ
confisquées,k§fiske,VER
confisquées,k§fiske,ADJ
confisqués,k§fiske,VER
confisqués,k§fiske,ADJ
confit,k§fi,VER
confit,k§fi,ADJ
confit,k§fi,NOM
confite,k§fit,VER
confite,k§fit,ADJ
confiteor,k§fiteOR,NOM
confites,k§fit,VER
confites,k§fit,ADJ
confits,k§fi,VER
confits,k§fi,ADJ
confits,k§fi,NOM
confiture,k§fityR,NOM
confitures,k§fityR,NOM
confituriers,k§fityRje,NOM
confiturière,k§fituRjER,NOM
confiâmes,k§fjam,VER
confiât,k§fja,VER
confièrent,k§fjER,VER
confié,k§fje,VER
confiée,k§fje,VER
confiées,k§fje,VER
confiés,k§fje,VER
conflagration,k§flagRasj§,NOM
conflictuel,k§flikt8El,ADJ
conflictuelle,k§flikt8El,ADJ
conflictuelles,k§flikt8El,ADJ
conflictuels,k§flikt8El,ADJ
conflit,k§fli,NOM
conflits,k§fli,NOM
confluaient,k§flyE,VER
confluait,k§flyE,VER
confluant,k§fly@,VER
conflue,k§fly,VER
confluence,k§fly@s,NOM
confluent,k§fly,VER
confluent,k§fly@,ADJ
confluent,k§fly@,NOM
confluents,k§fly@,NOM
confluer,k§fl8e,VER
conflué,k§flye,VER
confond,k§f§,VER
confondaient,k§f§dE,VER
confondais,k§f§dE,VER
confondait,k§f§dE,VER
confondant,k§f§d@,ADJ
confondant,k§f§d@,VER
confondante,k§f§d@t,ADJ
confondantes,k§f§d@t,ADJ
confondants,k§f§d@,ADJ
confonde,k§f§d,VER
confondent,k§f§d,VER
confondez,k§f§de,VER
confondions,k§f§dj§,VER
confondirent,k§f§diR,VER
confondis,k§f§di,VER
confondit,k§f§di,VER
confondons,k§f§d§,VER
confondra,k§f§dRa,VER
confondrai,k§f§dRE,VER
confondrais,k§f§dRE,VER
confondrait,k§f§dRE,VER
confondre,k§f§dR,VER
confondrez,k§f§dRe,VER
confondront,k§f§dR§,VER
confonds,k§f§,VER
confondu,k§f§dy,VER
confondu,k§f§dy,ADJ
confondue,k§f§dy,VER
confondue,k§f§dy,ADJ
confondues,k§f§dy,VER
confondues,k§f§dy,ADJ
confondus,k§f§dy,VER
confondus,k§f§dy,ADJ
confondît,k§f§di,VER
conformai,k§fORmE,VER
conformaient,k§fORmE,VER
conformais,k§fORmE,VER
conformait,k§fORmE,VER
conformant,k§fORm@,VER
conformation,k§fORmasj§,NOM
conforme,k§fORm,ADJ
conforme,k§fORm,VER
conforment,k§fORm,VER
conformer,k§fORme,VER
conformera,k§fORm°Ra,VER
conformerai,k§fORm°RE,VER
conformeraient,k§fORm°RE,VER
conformerez,k§fORm°Re,VER
conformes,k§fORm,ADJ
conformisme,k§fORmizm,NOM
conformismes,k§fORmizm,NOM
conformiste,k§fORmist,ADJ
conformiste,k§fORmist,NOM
conformistes,k§fORmist,ADJ
conformistes,k§fORmist,NOM
conformité,k§fORmite,NOM
conformât,k§fORma,VER
conformé,k§fORme,VER
conformé,k§fORme,ADJ
conformée,k§fORme,VER
conformément,k§fORmem@,ADV
confort,k§fOR,NOM
conforta,k§fORta,VER
confortable,k§fORtabl,ADJ
confortablement,k§fORtabl°m@,ADV
confortables,k§fORtabl,ADJ
confortaient,k§fORtE,VER
confortait,k§fORtE,VER
confortant,k§fORt@,VER
conforte,k§fORt,VER
conforter,k§fORte,VER
conforterait,k§fORt°RE,VER
conforts,k§fOR,NOM
conforté,k§fORte,VER
confortée,k§fORte,VER
confraternel,k§fRatERnEl,ADJ
confraternelle,k§fRatERnEl,ADJ
confraternellement,k§fRatERnEl°m@,ADV
confraternelles,k§fRatERnEl,ADJ
confraternels,k§fRatERnEl,ADJ
confraternité,k§fRatERnite,NOM
confrontai,k§fR§tE,VER
confrontaient,k§fR§tE,VER
confrontais,k§fR§tE,VER
confrontait,k§fR§tE,VER
confrontant,k§fR§t@,VER
confrontation,k§fR§tasj§,NOM
confrontations,k§fR§tasj§,NOM
confronte,k§fR§t,VER
confrontent,k§fR§t,VER
confronter,k§fR§te,VER
confrontez,k§fR§te,VER
confrontons,k§fR§t§,VER
confrontèrent,k§fR§tER,VER
confronté,k§fR§te,VER
confronté,k§fR§te,ADJ
confrontée,k§fR§te,VER
confrontée,k§fR§te,ADJ
confrontées,k§fR§te,VER
confrontées,k§fR§te,ADJ
confrontés,k§fR§te,VER
confrontés,k§fR§te,ADJ
confrère,k§fRER,NOM
confrères,k§fRER,NOM
confrérie,k§fReRi,NOM
confréries,k§fReRi,NOM
confucianisme,k§fysjanizm,NOM
confucéenne,k§fyseEn,ADJ
confus,k§fy,ADJ
confuse,k§fyz,ADJ
confuses,k§fyz,ADJ
confusion,k§fyzj§,NOM
confusionnisme,k§fyzjonizm,NOM
confusions,k§fyzj§,NOM
confusément,k§fyzem@,ADV
confère,k§fER,VER
confèrent,k§fER,VER
confédéral,k§fedeRal,ADJ
confédération,k§fedeRasj§,NOM
confédéraux,k§fedeRo,ADJ
confédérer,k§fedeRe,VER
confédéré,k§fedeRe,VER
confédéré,k§fedeRe,ADJ
confédéré,k§fedeRe,NOM
confédérée,k§fedeRe,ADJ
confédérés,k§fedeRe,VER
confédérés,k§fedeRe,ADJ
confédérés,k§fedeRe,NOM
conféra,k§feRa,VER
conféraient,k§feRE,VER
conférais,k§feRE,VER
conférait,k§feRE,VER
conférant,k§feR@,VER
conférence,k§feR@s,NOM
conférences,k§feR@s,NOM
conférences-débats,k§feR@sdeba,NOM
conférencier,k§feR@sje,NOM
conférenciers,k§feR@sje,NOM
conférencière,k§feR@sjER,NOM
conférents,k§feR@,NOM
conférer,k§feRe,VER
conférera,k§feR°Ra,VER
conféreraient,k§feR°RE,VER
conférerait,k§feR°RE,VER
conférerez,k§feR°Re,VER
conféreront,k§feR°R§,VER
conférez,k§feRe,VER
conférât,k§feRa,VER
conférèrent,k§feRER,VER
conféré,k§feRe,VER
conféré,k§feRe,ADJ
conférée,k§feRe,VER
conférées,k§feRe,VER
conférées,k§feRe,ADJ
conférés,k§feRe,VER
conférés,k§feRe,ADJ
conga,k§ga,NOM
congas,k§ga,NOM
congayes,k§gaj,NOM
congaïs,k§gai,NOM
congela,k§Z°la,VER
congelait,k§Z°lE,VER
congelant,k§Z°l@,VER
congeler,k§Z°le,VER
congelez,k§Z°le,VER
congelons,k§Z°l§,VER
congelé,k§Z°le,VER
congelé,k§Z°le,ADJ
congelée,k§Z°le,VER
congelée,k§Z°le,ADJ
congelées,k§Z°le,VER
congelées,k§Z°le,ADJ
congelés,k§Z°le,VER
congelés,k§Z°le,ADJ
congestif,k§ZEstif,ADJ
congestion,k§ZEstj§,NOM
congestionnaient,k§ZEstjonE,VER
congestionnait,k§ZEstjonE,VER
congestionne,k§ZEstjOn,VER
congestionnent,k§ZEstjOn,VER
congestionné,k§ZEstjone,VER
congestionné,k§ZEstjone,ADJ
congestionnée,k§ZEstjone,VER
congestionnée,k§ZEstjone,ADJ
congestionnées,k§ZEstjone,ADJ
congestionnés,k§ZEstjone,VER
congestionnés,k§ZEstjone,ADJ
congestions,k§ZEstj§,NOM
congestive,k§ZEstiv,ADJ
conglobation,k§globasj§,NOM
conglomérat,k§glomeRa,NOM
conglomérats,k§glomeRa,NOM
conglomérée,k§glomeRe,VER
congolais,k§golE,ADJ
congolais,k§golE,NOM
congolaise,k§golEz,ADJ
congratula,k§gRatyla,VER
congratulaient,k§gRatylE,VER
congratulait,k§gRatylE,VER
congratulant,k§gRatyl@,VER
congratulations,k§gRatylasj§,NOM
congratule,k§gRatyl,VER
congratulent,k§gRatyl,VER
congratuler,k§gRatyle,VER
congratulions,k§gRatylj§,VER
congratulâmes,k§gRatylam,VER
congratulèrent,k§gRatylER,VER
congratulé,k§gRatyle,VER
congratulés,k§gRatyle,VER
congre,k§gR,NOM
congres,k§gR,NOM
congressistes,k§gREsist,NOM
congrue,k§gRy,ADJ
congrès,k§gRE,NOM
congréganiste,k§gReganist,NOM
congrégation,k§gRegasj§,NOM
congrégationaliste,k§gRegasjOnalist,ADJ
congrégations,k§gRegasj§,NOM
congrûment,k§gRym@,ADV
congèle,k§ZEl,VER
congèlera,k§ZEl°Ra,VER
congèlerais,k§ZEl°RE,VER
congère,k§ZER,NOM
congères,k§ZER,NOM
congé,k§Ze,NOM
congédia,k§Zedja,VER
congédiai,k§ZedjE,VER
congédiait,k§ZedjE,VER
congédiant,k§Zedj@,VER
congédie,k§Zedi,VER
congédiement,k§Zedim@,NOM
congédient,k§Zedi,VER
congédier,k§Zedje,VER
congédiez,k§Zedje,VER
congédié,k§Zedje,VER
congédié,k§Zedje,ADJ
congédiée,k§Zedje,VER
congédiée,k§Zedje,ADJ
congédiées,k§Zedje,VER
congédiés,k§Zedje,VER
congélateur,k§Zelat9R,NOM
congélateurs,k§Zelat9R,NOM
congélation,k§Zelasj§,NOM
congénital,k§Zenital,ADJ
congénitale,k§Zenital,ADJ
congénitalement,k§Zenital°m@,ADV
congénitales,k§Zenital,ADJ
congénitaux,k§Zenito,ADJ
congénère,k§ZenER,ADJ
congénère,k§ZenER,NOM
congénères,k§ZenER,ADJ
congénères,k§ZenER,NOM
congés,k§Ze,NOM
conifère,konifER,NOM
conifères,konifER,NOM
conique,konik,ADJ
coniques,konik,ADJ
conjecturai,k§ZEktyRE,VER
conjectural,k§ZEktyRal,ADJ
conjecturale,k§ZEktyRal,ADJ
conjecture,k§ZEktyR,NOM
conjecture,k§ZEktyR,VER
conjecturent,k§ZEktyR,VER
conjecturer,k§ZEktyRe,VER
conjectures,k§ZEktyR,NOM
conjectures,k§ZEktyR,VER
conjoindre,k§Zw5dR,VER
conjoint,k§Zw5,VER
conjoint,k§Zw5,ADJ
conjoint,k§Zw5,NOM
conjointe,k§Zw5t,ADJ
conjointe,k§Zw5t,NOM
conjointement,k§Zw5t°m@,ADV
conjointes,k§Zw5t,ADJ
conjoints,k§Zw5,VER
conjoints,k§Zw5,ADJ
conjoints,k§Zw5,NOM
conjoncteur,k§Z§kt9R,NOM
conjonctif,k§Z§ktif,ADJ
conjonctif,k§Z§ktif,NOM
conjonction,k§Z§ksj§,NOM
conjonctions,k§Z§ksj§,NOM
conjonctive,k§Z§ktiv,ADJ
conjonctive,k§Z§ktiv,NOM
conjonctives,k§Z§ktiv,ADJ
conjonctives,k§Z§ktiv,NOM
conjonctivite,k§Z§ktivit,NOM
conjonctivites,k§Z§ktivit,NOM
conjoncture,k§Z§ktyR,NOM
conjonctures,k§Z§ktyR,NOM
conjugaison,k§ZygEz§,NOM
conjugaisons,k§ZygEz§,NOM
conjugal,k§Zygal,ADJ
conjugale,k§Zygal,ADJ
conjugalement,k§Zygal°m@,ADV
conjugales,k§Zygal,ADJ
conjugalité,k§Zygalite,NOM
conjugaux,k§Zygo,ADJ
conjuguaient,k§ZygE,VER
conjuguait,k§ZygE,VER
conjuguant,k§Zyg@,VER
conjugue,k§Zyg,VER
conjuguent,k§Zyg,VER
conjuguer,k§Zyge,VER
conjuguerions,k§Zyg°Rj§,VER
conjugues,k§Zyg,VER
conjugué,k§Zyge,VER
conjugué,k§Zyge,ADJ
conjuguée,k§Zyge,VER
conjuguée,k§Zyge,ADJ
conjuguées,k§Zyge,VER
conjugués,k§Zyge,VER
conjungo,k§j§Go,NOM
conjungos,k§j§Go,NOM
conjura,k§ZyRa,VER
conjurait,k§ZyRE,VER
conjurant,k§ZyR@,VER
conjurateur,k§ZyRat9R,NOM
conjuration,k§ZyRasj§,NOM
conjurations,k§ZyRasj§,NOM
conjuratoire,k§ZyRatwaR,ADJ
conjure,k§ZyR,VER
conjurer,k§ZyRe,VER
conjurera,k§ZyR°Ra,VER
conjuré,k§ZyRe,VER
conjuré,k§ZyRe,ADJ
conjuré,k§ZyRe,NOM
conjurée,k§ZyRe,VER
conjurée,k§ZyRe,ADJ
conjurée,k§ZyRe,NOM
conjurées,k§ZyRe,VER
conjurés,k§ZyRe,VER
conjurés,k§ZyRe,ADJ
conjurés,k§ZyRe,NOM
connais,konE,VER
connais,konE,VER
connaissable,konEsabl,ADJ
connaissables,konEsabl,ADJ
connaissaient,konEsE,VER
connaissais,konEsE,VER
connaissait,konEsE,VER
connaissance,konEs@s,NOM
connaissances,konEs@s,NOM
connaissant,konEs@,ADJ
connaissant,konEs@,VER
connaisse,konEs,VER
connaissement,konEs°m@,NOM
connaissements,konEs°m@,NOM
connaissent,konEs,VER
connaisses,konEs,VER
connaisseur,konEs9R,ADJ
connaisseur,konEs9R,NOM
connaisseurs,konEs9R,ADJ
connaisseurs,konEs9R,NOM
connaisseuse,konEs2z,ADJ
connaisseuse,konEs2z,NOM
connaisseuses,konEs2z,NOM
connaissez,konEse,VER
connaissiez,konEsje,VER
connaissions,konEsj§,VER
connaissons,konEs§,VER
connard,konaR,ADJ
connard,konaR,NOM
connards,konaR,ADJ
connards,konaR,NOM
connasse,konas,ADJ
connasse,konas,NOM
connasses,konas,ADJ
connasses,konas,NOM
connaît,konE,VER
connaîtra,konEtRa,VER
connaîtrai,konEtRE,VER
connaîtraient,konEtRE,VER
connaîtrais,konEtRE,VER
connaîtrait,konEtRE,VER
connaîtras,konEtRa,VER
connaître,konEtR,VER
connaîtrez,konEtRe,VER
connaîtriez,konEtRije,VER
connaîtrions,konEtRij§,VER
connaîtrons,konEtR§,VER
connaîtront,konEtR§,VER
conne,kOn,ADJ
conne,kOn,NOM
conneau,kono,NOM
conneaux,kono,NOM
connectant,kOnEkt@,VER
connecte,konEkt,VER
connectent,konEkt,VER
connecter,konEkte,VER
connectera,konEkt°Ra,VER
connecteur,konEkt9R,NOM
connectez,konEkte,VER
connectiez,konEktje,VER
connections,konEktj§,VER
connectivité,konEktivite,NOM
connectons,konEkt§,VER
connecté,konEkte,VER
connectée,konEkte,VER
connectées,konEkte,VER
connectés,konEkte,VER
connement,kOn°m@,ADV
connerie,kOn°Ri,NOM
conneries,kOn°Ri,NOM
connes,kOn,ADJ
connes,kOn,NOM
connexe,konEks,ADJ
connexes,konEks,ADJ
connexion,konEksj§,NOM
connexions,konEksj§,NOM
connils,konil,NOM
connivence,koniv@s,NOM
connivences,koniv@s,NOM
connotation,konotasj§,NOM
connotations,konotasj§,NOM
connu,kony,VER
connu,kony,ADJ
connue,kony,VER
connue,kony,ADJ
connues,kony,VER
connues,kony,ADJ
connurent,konyR,VER
connus,kony,VER
connus,kony,ADJ
connusse,konys,VER
connussent,konys,VER
connusses,konys,VER
connut,kony,VER
connétable,konetabl,NOM
connétables,konetabl,NOM
connûmes,konym,VER
connût,kony,VER
conoïdaux,konoido,ADJ
conoïde,konoid,ADJ
conque,k§k,NOM
conquerra,k§kERa,VER
conquerraient,k§kERRE,VER
conquerrons,k§kER§,VER
conquerront,k§kERR§,VER
conques,k§k,NOM
conquiers,k§kjER,VER
conquiert,k§kjER,VER
conquirent,k§kiR,VER
conquis,k§ki,ADJ
conquis,k§ki,VER
conquise,k§kiz,ADJ
conquise,k§kiz,VER
conquises,k§kiz,ADJ
conquises,k§kiz,VER
conquistador,k§kistadOR,NOM
conquistadores,k§kistadOR,NOM
conquistadors,k§kistadOR,NOM
conquit,k§ki,VER
conquière,k§kjER,VER
conquièrent,k§kjER,VER
conquérait,k§keRE,VER
conquérant,k§keR@,ADJ
conquérant,k§keR@,NOM
conquérant,k§keR@,VER
conquérante,k§keR@t,ADJ
conquérante,k§keR@t,NOM
conquérantes,k§keR@t,ADJ
conquérantes,k§keR@t,NOM
conquérants,k§keR@,ADJ
conquérants,k§keR@,NOM
conquérez,k§keRe,VER
conquérir,k§keRiR,VER
conquérons,k§keR§,VER
conquête,k§kEt,NOM
conquêtes,k§kEt,NOM
conquît,k§ki,VER
cons,k§,ADJ
cons,k§,NOM
consacra,k§sakRa,VER
consacrai,k§sakRE,VER
consacraient,k§sakRE,VER
consacrais,k§sakRE,VER
consacrait,k§sakRE,VER
consacrant,k§sakR@,NOM
consacrant,k§sakR@,VER
consacre,k§sakR,VER
consacrent,k§sakR,VER
consacrer,k§sakRe,VER
consacrera,k§sakR°Ra,VER
consacrerai,k§sakR°RE,VER
consacreraient,k§sakR°RE,VER
consacrerais,k§sakR°RE,VER
consacrerait,k§sakR°RE,VER
consacreras,k§sakR°Ra,VER
consacrerez,k§sakR°Re,VER
consacreriez,k§sakR°Rje,VER
consacrerions,k§sakR°Rj§,VER
consacreront,k§sakR°R§,VER
consacres,k§sakR,VER
consacrez,k§sakRe,VER
consacriez,k§sakRje,VER
consacrons,k§sakR§,VER
consacrèrent,k§sakRER,VER
consacré,k§sakRe,VER
consacré,k§sakRe,ADJ
consacrée,k§sakRe,VER
consacrée,k§sakRe,ADJ
consacrées,k§sakRe,VER
consacrées,k§sakRe,ADJ
consacrés,k§sakRe,VER
consacrés,k§sakRe,ADJ
consanguin,k§s@g5,ADJ
consanguine,k§s@gin,ADJ
consanguine,k§s@gin,NOM
consanguinité,k§s@ginite,NOM
consanguinités,k§s@ginite,NOM
consanguins,k§s@g5,ADJ
consanguins,k§s@g5,NOM
consciemment,k§sjam@,ADV
conscience,k§sj@s,NOM
consciences,k§sj@s,NOM
consciencieuse,k§sj@sj2z,ADJ
consciencieuse,k§sj@sj2z,NOM
consciencieusement,k§sj@sj2z°m@,ADV
consciencieuses,k§sj@sj2z,ADJ
consciencieux,k§sj@sj2,ADJ
consciencieux,k§sj@sj2,NOM
conscient,k§sj@,ADJ
conscient,k§sj@,NOM
consciente,k§sj@t,ADJ
conscientes,k§sj@t,ADJ
conscients,k§sj@,ADJ
conscients,k§sj@,NOM
conscription,k§skRipsj§,NOM
conscrit,k§skRi,NOM
conscrits,k§skRi,NOM
conseil,k§sEj,NOM
conseilla,k§sEja,VER
conseillai,k§sEjE,VER
conseillaient,k§sEjE,VER
conseillais,k§sEjE,VER
conseillait,k§sEjE,VER
conseillant,k§sEj@,VER
conseille,k§sEj,VER
conseillent,k§sEj,VER
conseiller,k§seje,NOM
conseiller,k§seje,VER
conseillera,k§sEj°Ra,VER
conseillerai,k§sEj°RE,VER
conseillerais,k§sEj°RE,VER
conseillerait,k§sEj°RE,VER
conseillerez,k§sEj°Re,VER
conseilleriez,k§sEj°Rje,VER
conseillers,k§sEje,NOM
conseilles,k§sEj,VER
conseilleurs,k§sEj9R,NOM
conseillez,k§sEje,VER
conseillons,k§sEj§,VER
conseillère,k§sejER,NOM
conseillèrent,k§sEjER,VER
conseillères,k§sEjER,NOM
conseillé,k§seje,VER
conseillée,k§seje,VER
conseillées,k§seje,VER
conseillés,k§seje,VER
conseils,k§sEj,NOM
consens,k§s@,VER
consensuel,k§s@s8El,ADJ
consensuelle,k§s@syEl,ADJ
consensus,k§s5sys,NOM
consent,k§s@,VER
consentaient,k§s@tE,VER
consentais,k§s@tE,VER
consentait,k§s@tE,VER
consentant,k§s@t@,ADJ
consentant,k§s@t@,VER
consentante,k§s@t@t,ADJ
consentantes,k§s@t@t,ADJ
consentants,k§s@t@,ADJ
consente,k§s@t,VER
consentement,k§s@t°m@,NOM
consentements,k§s@t°m@,NOM
consentent,k§s@t,VER
consentes,k§s@t,VER
consentez,k§s@te,VER
consenti,k§s@ti,VER
consentie,k§s@ti,VER
consenties,k§s@ti,VER
consentiez,k§s@tje,VER
consentions,k§s@tj§,VER
consentir,k§s@tiR,VER
consentira,k§s@tiRa,VER
consentirai,k§s@tiRE,VER
consentiraient,k§s@tiRE,VER
consentirais,k§s@tiRE,VER
consentirait,k§s@tiRE,VER
consentiras,k§s@tiRa,VER
consentirent,k§s@tiR,VER
consentirez,k§s@tiRe,VER
consentiriez,k§s@tiRje,VER
consentirions,k§s@tiRj§,VER
consentiront,k§s@tiR§,VER
consentis,k§s@ti,VER
consentisse,k§s@tis,VER
consentissent,k§s@tis,VER
consentit,k§s@ti,VER
consentons,k§s@t§,VER
consentît,k§s@ti,VER
conserva,k§sERva,VER
conservai,k§sERvE,VER
conservaient,k§sERvE,VER
conservais,k§sERvE,VER
conservait,k§sERvE,VER
conservant,k§sERv@,VER
conservateur,k§sERvat9R,ADJ
conservateur,k§sERvat9R,NOM
conservateurs,k§sERvat9R,ADJ
conservateurs,k§sERvat9R,NOM
conservation,k§sERvasj§,NOM
conservatisme,k§sERvatizm,NOM
conservatoire,k§sERvatwaR,NOM
conservatoires,k§sERvatwaR,NOM
conservatrice,k§sERvatRis,ADJ
conservatrice,k§sERvatRis,NOM
conservatrices,k§sERvatRis,ADJ
conservatrices,k§sERvatRis,NOM
conserve,k§sERv,NOM
conserve,k§sERv,VER
conservent,k§sERv,VER
conserver,k§sERve,VER
conservera,k§sERv°Ra,VER
conserverai,k§sERv°RE,VER
conserveraient,k§sERv°RE,VER
conserverais,k§sERv°RE,VER
conserverait,k§sERv°RE,VER
conserveras,k§sERv°Ra,VER
conserverez,k§sERv°Re,VER
conserverie,k§sERv°Ri,NOM
conserveries,k§sERv°Ri,NOM
conserverons,k§sERv°R§,VER
conserveront,k§sERv°R§,VER
conserves,k§sERv,NOM
conserves,k§sERv,VER
conservez,k§sERve,VER
conserviez,k§sERvje,VER
conservions,k§sERvj§,VER
conservons,k§sERv§,VER
conservât,k§sERva,VER
conservèrent,k§sERvER,VER
conservé,k§sERve,VER
conservé,k§sERve,ADJ
conservée,k§sERve,VER
conservée,k§sERve,ADJ
conservées,k§sERve,VER
conservées,k§sERve,ADJ
conservés,k§sERve,VER
conservés,k§sERve,ADJ
considère,k§sidER,VER
considèrent,k§sidER,VER
considères,k§sidER,VER
considéra,k§sideRa,VER
considérable,k§sideRabl,ADJ
